symbol,companyName,sector,industry,exchangeMarket
BANF,BancFirst Corporation,Finance,Major Banks,NASDAQ
BANFP,BancFirst Corporation,Finance,Major Banks,NASDAQ
BKMU,Bank Mutual Corporation,Finance,Savings Institutions,NASDAQ
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks,NASDAQ
BMRC,Bank of Marin Bancorp,Finance,Major Banks,NASDAQ
BKSC,Bank of South Carolina Corp.,Finance,Major Banks,NASDAQ
BOTJ,"Bank of the James Financial Group, Inc.",Finance,Major Banks,NASDAQ
OZRK,Bank of the Ozarks,Finance,Major Banks,NASDAQ
BFIN,BankFinancial Corporation,Finance,Savings Institutions,NASDAQ
BWFG,"Bankwell Financial Group, Inc.",Finance,Major Banks,NASDAQ
BANR,Banner Corporation,Finance,Major Banks,NASDAQ
BZUN,Baozun Inc.,Consumer Services,Catalog/Specialty Distribution,NASDAQ
DFVL,Barclays PLC,Finance,Commercial Banks,NASDAQ
DFVS,Barclays PLC,Finance,Commercial Banks,NASDAQ
DLBL,Barclays PLC,Finance,Commercial Banks,NASDAQ
DLBS,Barclays PLC,Finance,Commercial Banks,NASDAQ
DTUL,Barclays PLC,Finance,Commercial Banks,NASDAQ
DTUS,Barclays PLC,Finance,Commercial Banks,NASDAQ
DTYL,Barclays PLC,Finance,Commercial Banks,NASDAQ
DTYS,Barclays PLC,Finance,Commercial Banks,NASDAQ
FLAT,Barclays PLC,Finance,Commercial Banks,NASDAQ
STPP,Barclays PLC,Finance,Commercial Banks,NASDAQ
TAPR,Barclays PLC,Finance,Commercial Banks,NASDAQ
BHAC,Barington/Hilco Acquisition Corp.,Finance,Business Services,NASDAQ
